Net,Nominal_value,net,nominal_value
Nominal,Value Nominal,nominal,value Nominal
Nominal Value,Value nominal,nominal Value,value nominal
Nominal value,Value_Nominal,nominal value,value_Nominal
Nominal_Value,Value_nominal,nominal_Value,value_nominal
