Conventional,Plant_power,fossil,power plant
Fossil,Power Plant,generator,power_Plant
Generator,Power plant,plant Power,power_plant
PP,Power_Plant,plant power,pp
Plant Power,Power_plant,plant_Power,
Plant power,Pp,plant_power,
Plant_Power,conventional,power Plant,
