Black Coal,Coal_Black,black Coal,coal_Black
Black coal,Coal_Hard,black coal,coal_Hard
Black_Coal,Coal_black,black_Coal,coal_black
Black_coal,Coal_hard,black_coal,coal_hard
Coal,Hard Coal,coal,hard Coal
Coal Black,Hard coal,coal Black,hard coal
Coal Hard,Hard_Coal,coal Hard,hard_Coal
Coal black,Hard_coal,coal black,hard_coal
Coal hard,Hardcoal,coal hard,hardcoal
