omf,OMF,Oemof,Omf,oemof,omf,,,,,
ppsa,PPSA,PYPSA,Ppsa,PyPSA,PyPsa,Pyppsa,Pypsa,ppsa,pypsa,
fine,FINE,Fine,Fn,fine,fn,,,,,
cllp,CALIOPE,CALLIOPE,Caliope,Calliope,Cllp,Clp,caliope,calliope,cllp,clp
