power,#ff5900,#ff6f00,#ff8400,#ff9900,#ffae00,#ffc400,#ffd900
heat,#b30000,#cc0000,#e60000,#ff0000,#ff1a1a,#ff3333,#ff4d4d
mobility,#476b6b,#527a7a,#5c8a8a,#669999,#75a3a3,#85adad,#94b8b8
coupled,#47248f,#5229a3,#5c2eb8,#6633cc,#7547d1,#855cd6,#9470db
